"R e,out","t e,out","R e,in","t e,in",Aso,Asi,As,Ac,Ak,χ,γ,"R e,out/R e,in",t out/t in,φ r,ke,"fy,out","fy,in","fc,ref",N0,Nexp
79.05,3.5,47.8,3.1,1776.884805,961.2331042,2738.117909,11492.23652,7178.036559,0.64,0.0,1.65376569,1.129032258,1.0,1.0,433.0,410.0,52.28095968,1764.321848,1705.0
53.7,3.5,21.4,2.8,1219.409188,401.11855,1620.527739,7219.536998,1438.723772,0.450651769,0.0,2.509345794,1.25,1.0,1.0,453.0,425.0,52.28095968,1100.312069,1191.0
54.1,3.0,21.4,2.8,1048.035309,401.11855,1449.153859,7355.002473,1438.723772,0.447319778,0.0,2.528037383,1.071428571,1.0,1.0,430.0,425.0,52.28095968,1005.657154,1100.0
79.75,2.9,47.8,3.1,1479.564476,961.2331042,2440.79758,11841.45596,7178.036559,0.638244514,0.0,1.668410042,0.935483871,1.0,1.0,395.0,410.0,52.28095968,1597.616223,1591.0
87.0,3.0,21.0,3.0,1668.185699,424.1150082,2092.300707,21969.15743,1385.44236,0.28,0.0,4.142857143,1.0,1.0,1.0,275.9,396.1,39.65979112,1499.536584,1790.0
87.0,3.0,21.0,3.0,1668.185699,424.1150082,2092.300707,21969.15743,1385.44236,0.28,0.0,4.142857143,1.0,1.0,1.0,275.9,396.1,39.65979112,1499.536584,1791.0
87.0,3.0,41.0,3.0,1668.185699,801.1061267,2469.291826,17696.59142,5281.017251,0.51,0.0,2.12195122,1.0,1.0,1.0,275.9,370.2,39.65979112,1458.665042,1648.0
87.0,3.0,41.0,3.0,1668.185699,801.1061267,2469.291826,17696.59142,5281.017251,0.51,0.0,2.12195122,1.0,1.0,1.0,275.9,370.2,39.65979112,1458.665042,1650.0
87.0,3.0,67.0,3.0,1668.185699,1291.194581,2959.38028,8384.910792,14102.60942,0.8,0.0,1.298507463,1.0,1.0,1.0,275.9,342.0,39.65979112,1234.384792,1435.0
87.0,3.0,67.0,3.0,1668.185699,1291.194581,2959.38028,8384.910792,14102.60942,0.8,0.0,1.298507463,1.0,1.0,1.0,275.9,342.0,39.65979112,1234.384792,1358.0
54.0,3.0,26.0,3.0,1046.150354,518.3627878,1564.513141,6518.804756,2123.716634,0.54,0.0,2.076923077,1.0,1.0,1.0,294.5,374.5,39.65979112,760.7525782,904.0
54.0,3.0,26.0,3.0,1046.150354,518.3627878,1564.513141,6518.804756,2123.716634,0.54,0.0,2.076923077,1.0,1.0,1.0,294.5,374.5,39.65979112,760.7525782,898.0
117.0,3.0,54.0,3.0,2233.672377,1046.150354,3279.82273,32798.2273,9160.884178,0.49,0.0,2.166666667,1.0,1.0,1.0,275.9,294.5,39.65979112,2225.132332,2421.0
117.0,3.0,54.0,3.0,2233.672377,1046.150354,3279.82273,32798.2273,9160.884178,0.49,0.0,2.166666667,1.0,1.0,1.0,275.9,294.5,39.65979112,2225.132332,2460.0
147.0,3.0,79.5,3.0,2799.159054,1526.81403,4325.973084,46504.21065,19855.65097,0.56,0.0,1.849056604,1.0,1.0,1.0,275.9,320.5,39.65979112,3105.97916,3331.0
147.0,3.0,79.5,3.0,2799.159054,1526.81403,4325.973084,46504.21065,19855.65097,0.56,0.0,1.849056604,1.0,1.0,1.0,275.9,320.5,39.65979112,3105.97916,3266.0
54.0,3.0,26.0,3.0,1046.150354,518.3627878,1564.513141,6518.804756,2123.716634,0.54,0.0,2.076923077,1.0,1.0,1.0,294.5,374.5,38.64498876,754.1372797,664.0
54.0,3.0,26.0,3.0,1046.150354,518.3627878,1564.513141,6518.804756,2123.716634,0.54,0.0,2.076923077,1.0,1.0,1.0,294.5,374.5,38.64498876,754.1372797,638.0
54.0,3.0,26.0,3.0,1046.150354,518.3627878,1564.513141,6518.804756,2123.716634,0.54,0.0,2.076923077,1.0,1.0,1.0,294.5,374.5,38.64498876,754.1372797,536.0
54.0,3.0,26.0,3.0,1046.150354,518.3627878,1564.513141,6518.804756,2123.716634,0.54,0.0,2.076923077,1.0,1.0,1.0,294.5,374.5,38.64498876,754.1372797,549.0
54.0,3.0,26.0,3.0,1046.150354,518.3627878,1564.513141,6518.804756,2123.716634,0.54,0.0,2.076923077,1.0,1.0,1.0,294.5,374.5,38.64498876,754.1372797,312.0
54.0,3.0,26.0,3.0,1046.150354,518.3627878,1564.513141,6518.804756,2123.716634,0.54,0.0,2.076923077,1.0,1.0,1.0,294.5,374.5,38.64498876,754.1372797,312.0
54.0,3.0,26.0,3.0,1046.150354,518.3627878,1564.513141,6518.804756,2123.716634,0.54,0.0,2.076923077,1.0,1.0,1.0,294.5,374.5,38.64498876,754.1372797,620.0
54.0,3.0,26.0,3.0,1046.150354,518.3627878,1564.513141,6518.804756,2123.716634,0.54,0.0,2.076923077,1.0,1.0,1.0,294.5,374.5,38.64498876,754.1372797,595.0
54.0,3.0,26.0,3.0,1046.150354,518.3627878,1564.513141,6518.804756,2123.716634,0.54,0.0,2.076923077,1.0,1.0,1.0,294.5,374.5,38.64498876,754.1372797,400.0
54.0,3.0,26.0,3.0,1046.150354,518.3627878,1564.513141,6518.804756,2123.716634,0.54,0.0,2.076923077,1.0,1.0,1.0,294.5,374.5,38.64498876,754.1372797,394.0
54.0,3.0,26.0,3.0,1046.150354,518.3627878,1564.513141,6518.804756,2123.716634,0.54,0.0,2.076923077,1.0,1.0,1.0,294.5,374.5,38.64498876,754.1372797,228.0
