"R e,out","t e,out","R e,in","t e,in",e,"fy,out","fy,in","fc,ref",L/r,ke,N0,Nexp
78.1,0.9,18.1,0.9,0.0,221.0,221.0,18.7,11.69692447,1.0,121.35,635.0
78.6,0.9,37.1,0.9,0.0,221.0,221.0,18.7,10.87419718,1.0,145.72,540.0
78.6,0.9,56.1,0.9,0.0,221.0,221.0,18.7,9.804640035,1.0,169.46,378.0
77.5,1.5,18.0,1.5,0.0,308.0,308.0,18.7,11.7001365,1.0,281.57,852.0
77.5,1.5,37.0,1.5,0.0,308.0,308.0,18.7,10.8671589,1.0,336.73,728.0
77.5,1.5,55.5,1.5,0.0,308.0,308.0,18.7,9.819090925,1.0,390.43,589.0
76.86,2.14,17.86,2.14,0.0,286.0,286.0,18.7,11.7046121,1.0,372.48,968.0
76.86,2.14,36.36,2.14,0.0,286.0,286.0,18.7,10.90083798,1.0,443.62,879.0
76.36,2.14,55.36,2.14,0.0,286.0,286.0,18.7,9.806656399,1.0,514.77,704.0
117.0,3.0,57.0,3.0,0.0,280.0,280.0,29.0,10.8393301,1.0,1853.35,1990.0
117.0,3.0,57.0,3.0,0.0,280.0,280.0,29.0,10.8393301,1.0,1853.35,1990.0
117.0,3.0,37.0,3.0,0.0,280.0,280.0,29.0,11.46727942,1.0,1930.01,2207.0
117.0,3.0,37.0,3.0,0.0,280.0,280.0,29.0,11.46727942,1.0,1930.01,2207.0
116.0,4.0,56.0,4.0,0.0,280.0,280.0,29.0,10.87419773,1.0,2136.48,2517.0
116.0,4.0,56.0,4.0,0.0,280.0,280.0,29.0,10.87419773,1.0,2136.48,2517.0
116.0,4.0,36.0,4.0,0.0,280.0,280.0,29.0,11.49391541,1.0,2177.95,2735.0
116.0,4.0,36.0,4.0,0.0,280.0,280.0,29.0,11.49391541,1.0,2177.95,2735.0
106.38,3.62,75.78,3.72,0.0,319.6,380.6,51.43,9.881996771,1.0,2284.45,2537.0
106.38,3.62,75.78,3.72,0.0,319.6,380.6,51.43,9.881996771,1.0,2284.45,2566.0
106.38,3.62,49.28,3.72,0.0,319.6,380.6,51.43,10.95123826,1.0,2616.04,3436.0
106.38,3.62,49.28,3.72,0.0,319.6,380.6,51.43,10.95123826,1.0,2616.04,3506.0
106.38,3.62,75.78,3.72,0.0,319.6,380.6,51.43,9.881996771,1.0,2284.45,1552.0
106.38,3.62,75.78,3.72,0.0,319.6,380.6,51.43,9.881996771,1.0,2284.45,1561.0
171.18,3.82,112.58,2.92,0.0,439.3,396.5,36.9,10.09204313,1.0,4504.95,5499.0
171.18,3.82,112.58,2.92,0.0,439.3,396.5,36.9,10.09204313,1.0,4504.95,5396.0
58.04,1.96,28.04,1.96,0.0,311.0,380.0,25.9,39.98267851,1.0,562.69,578.0
